+----------------------------------------------------------+
| QUEUE Pracovníci                                        |
+----------------------------------------------------------+
|  Time interval = 0 - 525600                              |
|  Incoming  52550                                         |
|  Outcoming  52550                                        |
|  Current length = 0                                      |
|  Maximal length = 2                                      |
|  Average length = 0.534928                               |
|  Minimal time = 0                                        |
|  Maximal time = 193.627                                  |
|  Average time = 5.3503                                   |
|  Standard deviation = 25.9641                            |
+----------------------------------------------------------+
+----------------------------------------------------------+
| HISTOGRAM Počet zasazených semínek v jednotlivých dnech |
+----------------------------------------------------------+
| STATISTIC                                                |
+----------------------------------------------------------+
|  Min = 10.246                  Max = 334180              |
|  Number of records = 99990                               |
|  Average value = 184772                                  |
|  Standard deviation = 97200.3                            |
+----------------------------------------------------------+
|    from    |     to     |     n    |   rel    |   sum    |
+------------+------------+----------+----------+----------+
|      0.000 |   1440.000 |     1470 | 0.014701 | 0.014701 |
|   1440.000 |   2880.000 |     1470 | 0.014701 | 0.029403 |
|   2880.000 |   4320.000 |      810 | 0.008101 | 0.037504 |
|   4320.000 |   5760.000 |        0 | 0.000000 | 0.037504 |
|   5760.000 |   7200.000 |        0 | 0.000000 | 0.037504 |
|   7200.000 |   8640.000 |        0 | 0.000000 | 0.037504 |
|   8640.000 |  10080.000 |      360 | 0.003600 | 0.041104 |
|  10080.000 |  11520.000 |        0 | 0.000000 | 0.041104 |
|  11520.000 |  12960.000 |      210 | 0.002100 | 0.043204 |
|  12960.000 |  14400.000 |     1410 | 0.014101 | 0.057306 |
|  14400.000 |  15840.000 |     1380 | 0.013801 | 0.071107 |
|  15840.000 |  17280.000 |      360 | 0.003600 | 0.074707 |
|  17280.000 |  18720.000 |        0 | 0.000000 | 0.074707 |
|  18720.000 |  20160.000 |        0 | 0.000000 | 0.074707 |
|  20160.000 |  21600.000 |        0 | 0.000000 | 0.074707 |
|  21600.000 |  23040.000 |        0 | 0.000000 | 0.074707 |
|  23040.000 |  24480.000 |        0 | 0.000000 | 0.074707 |
|  24480.000 |  25920.000 |        0 | 0.000000 | 0.074707 |
|  25920.000 |  27360.000 |        0 | 0.000000 | 0.074707 |
|  27360.000 |  28800.000 |        0 | 0.000000 | 0.074707 |
|  28800.000 |  30240.000 |        0 | 0.000000 | 0.074707 |
|  30240.000 |  31680.000 |        0 | 0.000000 | 0.074707 |
|  31680.000 |  33120.000 |        0 | 0.000000 | 0.074707 |
|  33120.000 |  34560.000 |        0 | 0.000000 | 0.074707 |
|  34560.000 |  36000.000 |        0 | 0.000000 | 0.074707 |
|  36000.000 |  37440.000 |        0 | 0.000000 | 0.074707 |
|  37440.000 |  38880.000 |        0 | 0.000000 | 0.074707 |
|  38880.000 |  40320.000 |        0 | 0.000000 | 0.074707 |
|  40320.000 |  41760.000 |     2310 | 0.023102 | 0.097810 |
|  41760.000 |  43200.000 |     1440 | 0.014401 | 0.112211 |
|  43200.000 |  44640.000 |        0 | 0.000000 | 0.112211 |
|  44640.000 |  46080.000 |        0 | 0.000000 | 0.112211 |
|  46080.000 |  47520.000 |        0 | 0.000000 | 0.112211 |
|  47520.000 |  48960.000 |        0 | 0.000000 | 0.112211 |
|  48960.000 |  50400.000 |     1020 | 0.010201 | 0.122412 |
|  50400.000 |  51840.000 |     1800 | 0.018002 | 0.140414 |
|  51840.000 |  53280.000 |      900 | 0.009001 | 0.149415 |
|  53280.000 |  54720.000 |        0 | 0.000000 | 0.149415 |
|  54720.000 |  56160.000 |        0 | 0.000000 | 0.149415 |
|  56160.000 |  57600.000 |        0 | 0.000000 | 0.149415 |
|  57600.000 |  59040.000 |        0 | 0.000000 | 0.149415 |
|  59040.000 |  60480.000 |        0 | 0.000000 | 0.149415 |
|  60480.000 |  61920.000 |        0 | 0.000000 | 0.149415 |
|  61920.000 |  63360.000 |        0 | 0.000000 | 0.149415 |
|  63360.000 |  64800.000 |        0 | 0.000000 | 0.149415 |
|  64800.000 |  66240.000 |        0 | 0.000000 | 0.149415 |
|  66240.000 |  67680.000 |        0 | 0.000000 | 0.149415 |
